time,x,y
  5.1399999999946901e+00,  2.4465816190489800e+01,  2.6565376127488477e-01
  5.1499999999946668e+00,  2.4572034513996588e+01,  2.6706536465658393e-01
  5.1599999999946435e+00,  2.4678442335812168e+01,  2.6848180666003080e-01
  5.1699999999946202e+00,  2.4785039352014387e+01,  2.6990294068218973e-01
  5.1799999999945969e+00,  2.4891825261061342e+01,  2.7132863415006747e-01
  5.1899999999945736e+00,  2.4998799763510732e+01,  2.7275876824945100e-01
  5.1999999999945503e+00,  2.5105962561650845e+01,  2.7419323756103314e-01
  5.2099999999945270e+00,  2.5213313359143989e+01,  2.7563194961446336e-01
  5.2199999999945037e+00,  2.5320851860740316e+01,  2.7707482437127018e-01
  5.2299999999944804e+00,  2.5428577772085458e+01,  2.7852179364780644e-01
  5.2399999999944571e+00,  2.5536490799622037e+01,  2.7997280048901840e-01
  5.2499999999944338e+00,  2.5644590650569647e+01,  2.8142779850352706e-01
  5.2599999999944105e+00,  2.5752877032961820e+01,  2.8288675117012002e-01
  5.2699999999943872e+00,  2.5861349655717216e+01,  2.8434963112498912e-01
  5.2799999999943639e+00,  2.5970008228724677e+01,  2.8581641943864561e-01
  5.2899999999943406e+00,  2.6078852462927493e+01,  2.8728710489062670e-01
  5.2999999999943173e+00,  2.6187882070396274e+01,  2.8876168324924073e-01
  5.3099999999942940e+00,  2.6297096764384438e+01,  2.9024015656254931e-01
  5.3199999999942706e+00,  2.6406496259364161e+01,  2.9172253246602670e-01
  5.3299999999942473e+00,  2.6516080271043432e+01,  2.9320882351149069e-01
  5.3399999999942240e+00,  2.6625848516367508e+01,  2.9469904652147771e-01
  5.3499999999942007e+00,  2.6735800713508297e+01,  2.9619322197267078e-01
  5.3599999999941774e+00,  2.6845936581844278e+01,  2.9769137341115587e-01
  5.3699999999941541e+00,  2.6956255841933846e+01,  2.9919352690139189e-01
  5.3799999999941308e+00,  2.7066758215483944e+01,  3.0069971051028882e-01
  5.3899999999941075e+00,  2.7177443425316046e+01,  3.0220995382758670e-01
  5.3999999999940842e+00,  2.7288311195331211e+01,  3.0372428752317876e-01
  5.4099999999940609e+00,  2.7399361250475344e+01,  3.0524274294183401e-01
  5.4199999999940376e+00,  2.7510593316706405e+01,  3.0676535173521513e-01
  5.4299999999940143e+00,  2.7622007120963360e+01,  3.0829214553075679e-01
  5.4399999999939910e+00,  2.7733602391136827e+01,  3.0982315563652268e-01
  5.4499999999939677e+00,  2.7845378856040675e+01,  3.1135841278098225e-01
  5.4599999999939444e+00,  2.7957336245384862e+01,  3.1289794688635025e-01
  5.4699999999939211e+00,  2.8069474289749902e+01,  3.1444178687413221e-01
  5.4799999999938978e+00,  2.8181792720563088e+01,  3.1598996050154304e-01
  5.4899999999938744e+00,  2.8294291270076489e+01,  3.1754249422707209e-01
  5.4999999999938511e+00,  2.8406969671346314e+01,  3.1909941310329015e-01
  5.5099999999938278e+00,  2.8519827658213174e+01,  3.2066074069477185e-01
  5.5199999999938045e+00,  2.8632864965282835e+01,  3.2222649901912970e-01
  5.5299999999937812e+00,  2.8746081327907103e+01,  3.2379670850901149e-01
  5.5399999999937579e+00,  2.8859476482165043e+01,  3.2537138799344112e-01
  5.5499999999937346e+00,  2.8973050164845212e+01,  3.2695055469669437e-01
  5.5599999999937113e+00,  2.9086802113429155e+01,  3.2853422425292467e-01
  5.5699999999936880e+00,  2.9200732066076050e+01,  3.3012241073453191e-01
  5.5799999999936647e+00,  2.9314839761608148e+01,  3.3171512669234915e-01
  5.5899999999936414e+00,  2.9429124939497850e+01,  3.3331238320594286e-01
  5.5999999999936181e+00,  2.9543587339856828e+01,  3.3491418994261130e-01
  5.6099999999935948e+00,  2.9658226703427371e+01,  3.3652055522387592e-01
  5.6199999999935715e+00,  2.9773042771574474e+01,  3.3813148609783422e-01
  5.6299999999935482e+00,  2.9888035286278299e+01,  3.3974698841568840e-01
  5.6399999999935249e+00,  3.0003203990126334e+01,  3.4136706691118135e-01
  5.6499999999935016e+00,  3.0118548626305181e+01,  3.4299172528197625e-01
  5.6599999999934782e+00,  3.0234068938592454e+01,  3.4462096627198030e-01
  5.6699999999934549e+00,  3.0349764671349512e+01,  3.4625479175400325e-01
  5.6799999999934316e+00,  3.0465635569515637e+01,  3.4789320281180702e-01
  5.6899999999934083e+00,  3.0581681378602823e+01,  3.4953619982077355e-01
  5.6999999999933850e+00,  3.0697901844690346e+01,  3.5118378252644344e-01
  5.7099999999933617e+00,  3.0814296714419676e+01,  3.5283595012032892e-01
  5.7199999999933384e+00,  3.0930865734990128e+01,  3.5449270131265120e-01
  5.7299999999933151e+00,  3.1047608654155567e+01,  3.5615403440183591e-01
  5.7399999999932918e+00,  3.1164525220222416e+01,  3.5781994734059802e-01
  5.7499999999932685e+00,  3.1281615182048213e+01,  3.5949043779822715e-01
  5.7599999999932452e+00,  3.1398878289040415e+01,  3.6116550321856933e-01
  5.7699999999932219e+00,  3.1516314291154583e+01,  3.6284514087351832e-01
  5.7799999999931986e+00,  3.1633922938891793e+01,  3.6452934791193464e-01
  5.7899999999931753e+00,  3.1751703983295506e+01,  3.6621812140419197e-01
  5.7999999999931520e+00,  3.1869657175948717e+01,  3.6791145838265082e-01
  5.8099999999931287e+00,  3.1987782268971490e+01,  3.6960935587811761e-01
  5.8199999999931054e+00,  3.2106079015018629e+01,  3.7131181095214300e-01
  5.8299999999930820e+00,  3.2224547167277223e+01,  3.7301882072512188e-01
  5.8399999999930587e+00,  3.2343186479465402e+01,  3.7473038240044582e-01
  5.8499999999930354e+00,  3.2461996705832405e+01,  3.7644649328528185e-01
  5.8599999999930121e+00,  3.2580977601159972e+01,  3.7816715080825103e-01
  5.8699999999929888e+00,  3.2700128920763014e+01,  3.7989235253380449e-01
  5.8799999999929655e+00,  3.2819450420489751e+01,  3.8162209617320614e-01
  5.8899999999929422e+00,  3.2938941856720355e+01,  3.8335637959249558e-01
  5.8999999999929189e+00,  3.3058602986364747e+01,  3.8509520081777376e-01
  5.9099999999928956e+00,  3.3178433566860456e+01,  3.8683855803841938e-01
  5.9199999999928723e+00,  3.3298433356171358e+01,  3.8858644960817018e-01
  5.9299999999928490e+00,  3.3418602112787063e+01,  3.9033887404454104e-01
  5.9399999999928257e+00,  3.3538939595721224e+01,  3.9209583002638754e-01
  5.9499999999928024e+00,  3.3659445564509987e+01,  3.9385731638984856e-01
  5.9599999999927791e+00,  3.3780119779210061e+01,  3.9562333212289702e-01
  5.9699999999927558e+00,  3.3900962000398124e+01,  3.9739387635900486e-01
  5.9799999999927325e+00,  3.4021971989170979e+01,  3.9916894837021694e-01
  5.9899999999927092e+00,  3.4143149507146290e+01,  4.0094854755981224e-01
  5.9999999999926859e+00,  3.4264494316463121e+01,  4.0273267345402175e-01
  6.0099999999926625e+00,  3.4386006179781624e+01,  4.0452132569313165e-01
  6.0199999999926392e+00,  3.4507684860281366e+01,  4.0631450402197539e-01
  6.0299999999926159e+00,  3.4629530121659059e+01,  4.0811220828022360e-01
  6.0399999999925926e+00,  3.4751541728126497e+01,  4.0991443839286307e-01
  6.0499999999925693e+00,  3.4873719444408678e+01,  4.1172119436090188e-01
  6.0599999999925460e+00,  3.4996063035741635e+01,  4.1353247625203149e-01
  6.0699999999925227e+00,  3.5118572267870555e+01,  4.1534828419131403e-01
  6.0799999999924994e+00,  3.5241246907048591e+01,  4.1716861835192343e-01
  6.0899999999924761e+00,  3.5364086720037932e+01,  4.1899347894675520e-01
  6.0999999999924528e+00,  3.5487091474110990e+01,  4.2082286622066906e-01
  6.1099999999924295e+00,  3.5610260937050803e+01,  4.2265678044283483e-01
  6.1199999999924062e+00,  3.5733594877150651e+01,  4.2449522189917854e-01
  6.1299999999923829e+00,  3.5857093063211600e+01,  4.2633819088511005e-01
  6.1399999999923596e+00,  3.5980755264539802e+01,  4.2818568769883264e-01
  6.1499999999923363e+00,  3.6104581250944335e+01,  4.3003771263537938e-01
  6.1599999999923130e+00,  3.6228570792735987e+01,  4.3189426598134339e-01
  6.1699999999922897e+00,  3.6352723660725843e+01,  4.3375534801009324e-01
  6.1799999999922663e+00,  3.6477039626222869e+01,  4.3562095897725800e-01
  6.1899999999922430e+00,  3.6601518461031553e+01,  4.3749109911659789e-01
  6.1999999999922197e+00,  3.6726159937449964e+01,  4.3936576863642918e-01
  6.2099999999921964e+00,  3.6850963828269322e+01,  4.4124496771693728e-01
  6.2199999999921731e+00,  3.6975929906774134e+01,  4.4312869650822900e-01
  6.2299999999921498e+00,  3.7101057946742792e+01,  4.4501695512872413e-01
  6.2399999999921265e+00,  3.7226347722446626e+01,  4.4690974366356562e-01
  6.2499999999921032e+00,  3.7351799008648143e+01,  4.4880706216311550e-01
  6.2599999999920799e+00,  3.7477411580597980e+01,  4.5070891064169250e-01
  6.2699999999920566e+00,  3.7603185214032422e+01,  4.5261528907692555e-01
  6.2799999999920333e+00,  3.7729119685170950e+01,  4.5452619740968536e-01
  6.2899999999920100e+00,  3.7855214770713751e+01,  4.5644163554409745e-01
  6.2999999999919867e+00,  3.7981470247838956e+01,  4.5836160334745485e-01
  6.3099999999919634e+00,  3.8107885894201374e+01,  4.6028610065031950e-01
  6.3199999999919401e+00,  3.8234461487933110e+01,  4.6221512724725500e-01
  6.3299999999919168e+00,  3.8361196807644546e+01,  4.6414868289802502e-01
  6.3399999999918935e+00,  3.8488091632424428e+01,  4.6608676732853727e-01
  6.3499999999918701e+00,  3.8615145741839129e+01,  4.6802938023150742e-01
  6.3599999999918468e+00,  3.8742358915929486e+01,  4.6997652126706668e-01
  6.3699999999918235e+00,  3.8869730935207620e+01,  4.7192819006361780e-01
  6.3799999999918002e+00,  3.8997261580654751e+01,  4.7388438621905432e-01
  6.3899999999917769e+00,  3.9124950633720239e+01,  4.7584510930216073e-01
  6.3999999999917536e+00,  3.9252797876319406e+01,  4.7781035885390905e-01
  6.4099999999917303e+00,  3.9380803090830916e+01,  4.7978013438851191e-01
  6.4199999999917070e+00,  3.9508966060093982e+01,  4.8175443539442087e-01
  6.4299999999916837e+00,  3.9637286567406996e+01,  4.8373326133549682e-01
  6.4399999999916604e+00,  3.9765764396527061e+01,  4.8571661165273999e-01
  6.4499999999916371e+00,  3.9894399331670542e+01,  4.8770448576613579e-01
  6.4599999999916138e+00,  4.0023191157513089e+01,  4.8969688307616716e-01
  6.4699999999915905e+00,  4.0152139659188421e+01,  4.9169380296491266e-01
  6.4799999999915672e+00,  4.0281244622285499e+01,  4.9369524479680355e-01
  6.4899999999915439e+00,  4.0410505832845459e+01,  4.9570120791954148e-01
  6.4999999999915206e+00,  4.0539923077359283e+01,  4.9771169166531937e-01
  6.5099999999914973e+00,  4.0669496142765524e+01,  4.9972669535202546e-01
  6.5199999999914739e+00,  4.0799224816447364e+01,  5.0174621828400967e-01
  6.5299999999914506e+00,  4.0929108886230452e+01,  5.0377025975250311e-01
  6.5399999999914273e+00,  4.1059148140383414e+01,  5.0579881903636548e-01
  6.5499999999914040e+00,  4.1189342367618835e+01,  5.0783189540324902e-01
  6.5599999999913807e+00,  4.1319691357094278e+01,  5.0986948811045474e-01
  6.5699999999913574e+00,  4.1450194898411489e+01,  5.1191159640520989e-01
  6.5799999999913341e+00,  4.1580852781614048e+01,  5.1395821952460252e-01
  6.5899999999913108e+00,  4.1711664797183914e+01,  5.1600935669569237e-01
  6.5999999999912875e+00,  4.1842630736039176e+01,  5.1806500713587988e-01
  6.6099999999912642e+00,  4.1973750389533137e+01,  5.2012517005343317e-01
  6.6199999999912409e+00,  4.2105023549452731e+01,  5.2218984464781049e-01
  6.6299999999912176e+00,  4.2236450008015893e+01,  5.2425903010970298e-01
  6.6399999999911943e+00,  4.2368029557868745e+01,  5.2633272562081690e-01
  6.6499999999911710e+00,  4.2499761992084082e+01,  5.2841093035394859e-01
  6.6599999999911477e+00,  4.2631647104161601e+01,  5.3049364347357597e-01
  6.6699999999911244e+00,  4.2763684688028235e+01,  5.3258086413661498e-01
  6.6799999999911011e+00,  4.2895874538038711e+01,  5.3467259149276258e-01
  6.6899999999910778e+00,  4.3028216448974383e+01,  5.3676882468444431e-01
  6.6999999999910544e+00,  4.3160710216040123e+01,  5.3886956284641274e-01
  6.7099999999910311e+00,  4.3293355634861747e+01,  5.4097480510570661e-01
  6.7199999999910078e+00,  4.3426152501483713e+01,  5.4308455058192173e-01
  6.7299999999909845e+00,  4.3559100612366990e+01,  5.4519879838744256e-01
  6.7399999999909612e+00,  4.3692199764386267e+01,  5.4731754762719886e-01
  6.7499999999909379e+00,  4.3825449754828611e+01,  5.4944079739821794e-01
  6.7599999999909146e+00,  4.3958850381394264e+01,  5.5156854678972844e-01
  6.7699999999908913e+00,  4.4092401442198387e+01,  5.5370079488365309e-01
  6.7799999999908680e+00,  4.4226102735771633e+01,  5.5583754075455827e-01
  6.7899999999908447e+00,  4.4359954061059490e+01,  5.5797878346909358e-01
  6.7999999999908214e+00,  4.4493955217418915e+01,  5.6012452208535202e-01
  6.8099999999907981e+00,  4.4628106004615312e+01,  5.6227475565254792e-01
  6.8199999999907748e+00,  4.4762406222821490e+01,  5.6442948321109143e-01
  6.8299999999907515e+00,  4.4896855672616518e+01,  5.6658870379268533e-01
  6.8399999999907282e+00,  4.5031454154984324e+01,  5.6875241642020646e-01
  6.8499999999907049e+00,  4.5166201471310458e+01,  5.7092062010722333e-01
  6.8599999999906816e+00,  4.5301097423379929e+01,  5.7309331385754025e-01
  6.8699999999906582e+00,  4.5436141813377084e+01,  5.7527049666546581e-01
  6.8799999999906349e+00,  4.5571334443885803e+01,  5.7745216751635697e-01
  6.8899999999906116e+00,  4.5706675117890903e+01,  5.7963832538713356e-01
  6.8999999999905883e+00,  4.5842163638777649e+01,  5.8182896924627903e-01
  6.9099999999905650e+00,  4.5977799810329408e+01,  5.8402409805346533e-01
  6.9199999999905417e+00,  4.6113583436724667e+01,  5.8622371075929103e-01
  6.9299999999905184e+00,  4.6249514322534893e+01,  5.8842780630553948e-01
  6.9399999999904951e+00,  4.6385592272722640e+01,  5.9063638362557747e-01
  6.9499999999904718e+00,  4.6521817092638933e+01,  5.9284944164427400e-01
  6.9599999999904485e+00,  4.6658188588021325e+01,  5.9506697927755636e-01
  6.9699999999904252e+00,  4.6794706564994698e+01,  5.9728899543242620e-01
  6.9799999999904019e+00,  4.6931370830072858e+01,  5.9951548900759144e-01
  6.9899999999903786e+00,  4.7068181190160267e+01,  6.0174645889363210e-01
  6.9999999999903553e+00,  4.7205137452551185e+01,  6.0398190397253737e-01
  7.0099999999903320e+00,  4.7342239424927037e+01,  6.0622182311710893e-01
  7.0199999999903087e+00,  4.7479486915352936e+01,  6.0846621519070665e-01
  7.0299999999902854e+00,  4.7616879732276651e+01,  6.1071507904741140e-01
